Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,
APRIN_7,,,,3,Llar i família,Hogar y familia,Home and family,,
APRIN_7,,,,4,Activitats i reunions de voluntariat,Actividades y reuniones de voluntariado,Volunteer activities and meetings,,
APRIN_7,,,,5,Vida social i diversió,Vida social y diversión,Social life and fun,,
APRIN_7,,,,6,Esports i activitats a l'aire lliure,Deportes y actividades al aire libre,Outdoor sport and activities,,
APRIN_7,,,,7,Activitats de lleure i informàtica,Actividades de ocio e informática,Leisure and computer activities,,
APRIN_7,,,,8,Mitjans de comunicació,Medios de comunicación,Media,,
APRIN_7,,,,9,Trajectes i ús del temps no especificat,Trayectos y uso del tiempo no especificado,Travel and unspecified time use,,
APRIN_8,Activitat principal a les 8:00 (a un dígit),Actividad principal a las 8:00 (a un dígito),Main activity at 8:00 (one digit),,,,,,
APRIN_8,,,,0,Cura personal,Cuidado personal,Personal care,,
APRIN_8,,,,1,Treball remunerat,Trabajo remunerado,Paid work,,
