IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4305101 	     3051 	          01 	          2100 	       420 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       420 	       1 	        1 	       420 	       2 	        1 	       420 	       3 	        1 	       420 	       4 	        1
   4305302 	     3053 	          02 	          2550 	         0 	       6 	        6 	         0 	       7 	        6 	       510 	       1 	        1 	       510 	       2 	        1 	       510 	       3 	        1 	       510 	       4 	        1 	       510 	       5 	        1
   4305603 	     3056 	          03 	          2265 	         0 	       7 	        6 	       420 	       1 	        1 	       420 	       2 	        1 	       420 	       3 	        1 	       585 	       4 	        1 	       420 	       5 	        1 	         0 	       6 	        6
   4305701 	     3057 	          01 	          3000 	       600 	       1 	        1 	       600 	       2 	        1 	       600 	       3 	        1 	       600 	       4 	        1 	       600 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4305702 	     3057 	          02 	          1350 	       270 	       1 	        1 	       270 	       2 	        1 	       270 	       3 	        1 	       270 	       4 	        1 	       270 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4306501 	     3065 	          01 	          3090 	         0 	       7 	        6 	       615 	       1 	        1 	       615 	       2 	        1 	       615 	       3 	        1 	       630 	       4 	        1 	       615 	       5 	        1 	         0 	       6 	        6
   4306502 	     3065 	          02 	          1500 	         0 	       7 	        6 	       300 	       1 	        1 	       300 	       2 	        1 	       300 	       3 	        1 	       300 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6
   4308102 	     3081 	          02 	          2700 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	       540 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       540 	       1 	        1
   4308201 	     3082 	          01 	          2640 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	       240 	       7 	        1 	       480 	       1 	        1
   4309302 	     3093 	          02 	          2160 	         0 	       6 	        6 	         0 	       7 	        6 	       540 	       1 	        1 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	         0 	       5 	        6
   4309501 	     3095 	          01 	          1260 	         0 	       7 	        6 	       180 	       1 	        1 	       180 	       2 	        1 	       420 	       3 	        1 	       180 	       4 	        1 	         0 	       5 	        6 	       300 	       6 	        1
   4310101 	     3101 	          01 	          2400 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1
   4310301 	     3103 	          01 	          1650 	         0 	       6 	        6 	         0 	       7 	        6 	       330 	       1 	        1 	       330 	       2 	        1 	       330 	       3 	        1 	       330 	       4 	        1 	       330 	       5 	        1
   4310502 	     3105 	          02 	          3660 	         0 	       7 	        6 	       660 	       1 	        1 	       660 	       2 	        1 	       660 	       3 	        1 	       660 	       4 	        1 	       660 	       5 	        1 	       360 	       6 	        1
   4310701 	     3107 	          01 	          2400 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4310702 	     3107 	          02 	          2220 	       510 	       1 	        1 	       510 	       2 	        1 	       450 	       3 	        1 	       450 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4310901 	     3109 	          01 	          2790 	       465 	       5 	        1 	       465 	       6 	        1 	         0 	       7 	        6 	       465 	       1 	        1 	       465 	       2 	        1 	       465 	       3 	        1 	       465 	       4 	        1
   4311502 	     3115 	          02 	          3240 	         0 	       7 	        6 	       660 	       1 	        1 	       660 	       2 	        1 	       660 	       3 	        1 	       660 	       4 	        1 	       600 	       5 	        1 	         0 	       6 	        6
   4311801 	     3118 	          01 	          1500 	       300 	       1 	        1 	       300 	       2 	        1 	       300 	       3 	        1 	       300 	       4 	        1 	       300 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4311802 	     3118 	          02 	          2340 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       420 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4312101 	     3121 	          01 	          2505 	       510 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       450 	       1 	        1 	       510 	       2 	        1 	       510 	       3 	        1 	       525 	       4 	        1
   4312201 	     3122 	          01 	          3300 	       660 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       660 	       1 	        1 	       660 	       2 	        1 	       660 	       3 	        1 	       660 	       4 	        1
   4313002 	     3130 	          02 	          2880 	       720 	       5 	        1 	         0 	       6 	        6 	       720 	       7 	        1 	         0 	       1 	        6 	       720 	       2 	        1 	         0 	       3 	        6 	       720 	       4 	        1
   4313201 	     3132 	          01 	          3600 	       720 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       720 	       1 	        1 	       720 	       2 	        1 	       720 	       3 	        1 	       720 	       4 	        1
   4313501 	     3135 	          01 	          1200 	         0 	       7 	        6 	       240 	       1 	        1 	       240 	       2 	        1 	         0 	       3 	        6 	       240 	       4 	        1 	       240 	       5 	        1 	       240 	       6 	        1
   4313502 	     3135 	          02 	          3000 	         0 	       7 	        6 	       600 	       1 	        1 	       600 	       2 	        1 	       600 	       3 	        1 	       600 	       4 	        1 	       600 	       5 	        1 	         0 	       6 	        6
   4313901 	     3139 	          01 	          1530 	         0 	       5 	        6 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       540 	       2 	        1 	       480 	       3 	        1 	       510 	       4 	        1
   4313902 	     3139 	          02 	          1440 	         0 	       5 	        6 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1
   4314501 	     3145 	          01 	          1920 	         0 	       7 	        6 	         0 	       1 	        6 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	         0 	       6 	        6
   4315502 	     3155 	          02 	          2700 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	       300 	       6 	        1 	         0 	       7 	        6
